t,S,I,R,cenario
358.9835164835165,176697.80062574256,0.005442979481812211,1430361.1939312778,COVID-19
359.9862637362637,176697.80048174429,0.005063114464398802,1430361.1944551412,COVID-19
360.989010989011,176697.80034795,0.004710167413939788,1430361.1949418825,COVID-19
361.99175824175825,176697.80022350734,0.004381889836726856,1430361.1953946026,COVID-19
362.9945054945055,176697.80010759123,0.004076105088990476,1430361.1958163036,COVID-19
363.99725274725273,176697.79999941128,0.003790728213074568,1430361.1962098605,COVID-19
365.0,176697.79989863458,0.003524881050313476,1430361.1965764842,COVID-19
0.0,1607058.0,1.0,0.0,Arbovirose
1.0027472527472527,1607057.726795258,1.1214242223228161,0.15178051943582815,Arbovirose
2.0054945054945055,1607057.4203881992,1.2576049855504026,0.32200681513168594,Arbovirose
3.008241758241758,1607057.0767885945,1.4103157122316032,0.5128956931469419,Arbovirose
4.010989010989011,1607056.6915196609,1.5815460681829856,0.7269342707635432,Arbovirose
5.013736263736264,1607056.259475481,1.7735653280437507,0.9669591909503743,Arbovirose
6.016483516483516,1607055.7749203641,1.9889226588331876,1.2361569768457894,Arbovirose
7.019230769230769,1607055.231488848,2.230447119950674,1.5380640317576104,Arbovirose
8.021978021978022,1607054.621941034,2.5013563849484366,1.876702581110962,Arbovirose
9.024725274725274,1607053.9382533072,2.8052164394015957,2.256530253346423,Arbovirose
10.027472527472527,1607053.1719634426,3.145788243535349,2.6822483139585,Arbovirose
11.030219780219781,1607052.313105282,3.5275011303589068,3.1593935877048245,Arbovirose
12.032967032967033,1607051.350172096,3.9554690873262874,3.694358816852082,Arbovirose
13.035714285714285,1607050.2701165825,4.4354907563363195,4.294392661176013,Arbovirose
14.038461538461538,1607049.0583508683,4.97404943373264,4.967599697961415,Arbovirose
15.041208791208792,1607047.6987465078,5.578313070303697,5.722940422002132,Arbovirose
16.043956043956044,1607046.173634483,6.2561342712827415,6.570231245601069,Arbovirose
17.046703296703296,1607044.4637979546,7.016053517059512,7.520148528283423,Arbovirose
18.049450549450547,1607042.5454516802,7.868641015690124,8.585907303994814,Arbovirose
19.052197802197803,1607040.3942878915,8.824699826497158,9.781012282069742,Arbovirose
20.054945054945055,1607037.984390269,9.895748268515568,11.119861462536635,Arbovirose
21.057692307692307,1607035.2846579186,11.095608387983603,12.619733693437087,Arbovirose
22.060439560439562,1607032.258805371,12.44040595834281,14.300788670825867,Arbovirose
23.063186813186814,1607028.8653625809,13.948570480238008,16.186066938770875,Arbovirose
24.065934065934066,1607025.057674929,15.64083518151732,18.3014898893532,Arbovirose
25.068681318681318,1607020.78390322,17.540237017232155,20.67585976266708,Arbovirose
26.07142857142857,1607015.9870236835,19.672116669637212,23.34085964681992,Arbovirose
27.074175824175825,1607010.6048279738,22.064118548190493,26.331053477932294,Arbovirose
28.076923076923077,1607004.5699231704,24.746190789553253,29.683886040137907,Arbovirose
29.07967032967033,1606997.8058811652,27.752293360005904,33.441825474759106,Arbovirose
30.082417582417584,1606990.214531457,31.126038970028397,37.6594295726762,Arbovirose
31.085164835164836,1606981.7079594473,34.906503806350216,42.38553674626557,Arbovirose
32.08791208791209,1606972.1822504785,39.13987091349521,47.67787860781469,Arbovirose
33.09065934065934,1606961.5130315672,43.88140750088397,53.6055609317511,Arbovirose
34.09340659340659,1606949.5554714024,49.19546494283378,60.249063654642256,Arbovirose
35.09615384615385,1606936.144280346,55.15547877855884,67.70024087519589,Arbovirose
36.098901098901095,1606921.0937104335,61.84396871216994,76.06232085425951,Arbovirose
37.10164835164835,1606904.1975553723,69.35253861267478,85.44990601482097,Arbovirose
38.104395604395606,1606885.229150544,77.78187651397778,95.98897294200796,Arbovirose
39.107142857142854,1606863.9413730018,87.24175461487997,107.81687238308817,Arbovirose
40.10989010989011,1606840.0666414732,97.85102927907944,121.08232924746963,Arbovirose
41.112637362637365,1606813.3166908743,109.73774039702583,135.94556872861332,Arbovirose
42.11538461538461,1606783.3066152758,123.07261807477514,152.620766649439,Arbovirose
43.11813186813187,1606749.6538843466,138.02557863873545,171.3205370144744,Arbovirose
44.120879120879124,1606711.9698183378,154.769442620353,192.26073904181118,Arbovirose
45.12362637362637,1606669.779099221,173.5153823454008,215.70551843334272,Arbovirose
46.12637362637363,1606622.5197706912,194.512921933979,241.96730737476497,Arbovirose
47.129120879120876,1606569.543238164,218.04993730051402,271.40682453557497,Arbovirose
48.13186813186813,1606510.1142687772,244.45265615375973,304.43307506907246,Arbovirose
49.13461538461539,1606443.4109913907,274.0856579967964,341.5033506123586,Arbovirose
50.137362637362635,1606368.5248965865,307.3518741270308,383.12322928633625,Arbovirose
51.14010989010989,1606284.460836668,344.69258763619746,429.84657569571095,Arbovirose
52.14285714285714,1606190.1370256606,386.5874334103565,482.27554092898924,Arbovirose
53.145604395604394,1606084.3850393116,433.5543981298962,541.0605625584806,Arbovirose
54.14835164835165,1605965.9387843614,486.1545340745091,606.9066815639404,Arbovirose
55.1510989010989,1605833.062949761,545.1517237090055,680.7853265297794,Arbovirose
56.15384615384615,1605684.1366152114,611.2658862708255,763.5974985176533,Arbovirose
57.15659340659341,1605517.4237518464,685.2698546955211,856.3063934578585,Arbovirose
58.15934065934066,1605330.8176587226,768.0982268724238,960.0841144048338,Arbovirose
59.16208791208791,1605121.840962818,860.8473656446467,1076.3116715371646,Arbovirose
60.16483516483517,1604887.6456190331,964.775398809081,1206.5789821575768,Arbovirose
61.167582417582416,1604625.0129101905,1081.302219116397,1352.6848706929395,Arbovirose
62.17032967032967,1604330.3534470345,1212.0094842710475,1516.6370686942687,Arbovirose
63.17307692307692,1603999.7071682317,1358.6406169312615,1700.6522148367194,Arbovirose
64.17582417582418,1603628.7433403712,1523.1008047090515,1907.1558549195947,Arbovirose
65.17857142857143,1603212.7605579633,1707.4570001702068,2138.7824418663376,Arbovirose
66.18131868131869,1602746.686743441,1913.9379208342978,2398.375335724536,Arbovirose
67.18406593406593,1602225.0667081,2144.938369686657,2688.994922213335,Arbovirose
68.18681318681318,1601640.7856317554,2403.484177110378,3014.730191134053,Arbovirose
69.18956043956044,1600986.599954898,2692.7674839196743,3379.6325611821762,Arbovirose
70.1923076923077,1600254.8658789552,3016.2127290539524,3787.9213919908234,Arbovirose
71.19505494505495,1599436.50970442,3377.823394812081,4244.666900767688,Arbovirose
72.19780219780219,1598521.0278308524,3782.182006852384,4755.790162295032,Arbovirose
73.20054945054945,1597496.4867568775,4234.450134192666,5328.063108929717,Arbovirose
74.2032967032967,1596349.5230801867,4740.368389210179,5969.108530603158,Arbovirose
75.20604395604396,1595065.3434975368,5306.25642764164,6687.400074821353,Arbovirose
76.20879120879121,1593627.7248047518,5939.012948583231,7492.262246664878,Arbovirose
77.21153846153847,1592019.0138967205,6646.115694490594,8393.87040878888,Arbovirose
78.21428571428571,1590220.127767398,7435.621451178826,9403.250781423078,Arbovirose
79.21703296703296,1588210.5535098056,8316.166047822517,10532.280442371795,Arbovirose
80.21978021978022,1585968.3483160303,9296.964356955688,11793.687327013908,Arbovirose
81.22252747252747,1583470.3726975324,10386.569281106982,13202.058021360464,Arbovirose
82.22527472527473,1580688.3317719619,11596.13678962988,14774.531438408028,Arbovirose
83.22802197802197,1577588.6907369741,12940.900104140506,16529.409158885213,Arbovirose
84.23076923076923,1574135.2570536933,14436.430999955137,18487.31194635131,Arbovirose
85.23351648351648,1570289.1965086337,16098.610229876118,20671.193261489992,Arbovirose
86.23626373626374,1566009.0332136985,17943.627524191936,23106.33926210938,Arbovirose
87.23901098901099,1561250.6496061806,19987.9815906772,25820.368803142053,Arbovirose
88.24175824175825,1555967.2864487623,22248.480114592643,28843.233436645023,Arbovirose
89.24450549450549,1550109.5428295152,24742.23975868509,32207.217411799684,Arbovirose
90.24725274725274,1543625.3761619003,27486.686163187587,35946.93767491204,Arbovirose
91.25,1536460.1021847683,30499.553945819218,40099.34386941237,Arbovirose
92.25274725274726,1528556.3949623592,33798.88670178519,44703.71833585545,Arbovirose
93.25549450549451,1519854.2868843025,37403.03700377687,49801.67611192049,Arbovirose
94.25824175824175,1510297.4158873197,41326.902317044645,55434.68179563563,Arbovirose
95.26098901098901,1499862.8471940802,45562.48751708289,61633.66528883669,Arbovirose
96.26373626373626,1488462.0122544158,50137.132820493745,68459.85492509033,Arbovirose
97.26648351648352,1476004.0445543162,55077.65123588864,75977.30420979504,Arbovirose
98.26923076923077,1462412.8428489626,60400.30382158575,84245.85332945155,Arbovirose
99.27197802197801,1447627.0711627272,66110.79968560996,93321.12915166275,Arbovirose
100.27472527472527,1431600.1587891725,72204.2959856931,103254.54522513418,Arbovirose
101.27747252747253,1414300.300291053,78665.3979292736,114093.30177967323,Arbovirose
102.28021978021978,1395710.4555003135,85468.15877349669,125880.38572618974,Arbovirose
